organismId,informationId
1,1
1,2
2,3
2,4
3,5
3,6
4,7
4,8
5,9
5,10
6,11
6,12
7,13
7,14
8,15
8,16
9,17
9,18
10,19
10,20
11,21
11,22
12,23
12,24
13,25
13,26
14,27
14,28
15,29
15,30
16,31
16,32
17,33
17,34
18,35
18,36
19,37
19,38
20,39
20,40
21,41
21,42
22,43
22,44
23,45
23,46
24,47
24,48
25,49
25,50
26,51
26,52
27,53
27,54
28,55
28,56
29,57
29,58
30,59
30,60
31,61
31,62
32,63
32,64
33,65
33,66
34,67
34,68
35,69
35,70
36,71
36,72
37,73
37,74
38,75
38,76
39,77
39,78
40,79
40,80
41,81
41,82
42,83
42,84
43,85
43,86
44,87
44,88
45,89
45,90
46,91
46,92
47,93
47,94
48,95
48,96
49,97
49,98
50,99
50,100
51,101
51,102
52,103
52,104
53,105
53,106
54,107
54,108
55,109
55,110
56,111
56,112
57,113
57,114
58,115
58,116
59,117
59,118
60,119
60,120
61,121
61,122
62,123
62,124
63,125
63,126
64,127
64,128
65,129
65,130
66,131
66,132
67,133
67,134
68,135
68,136
69,137
69,138
70,139
70,140
71,141
71,142
72,143
72,144
73,145
73,146
74,147
74,148
75,149
75,150
76,151
76,152
77,153
77,154
78,155
78,156
79,157
79,158
80,159
80,160
81,161
81,162
82,163
82,164
83,165
83,166
84,167
84,168
85,169
85,170
86,171
86,172
87,173
87,174
88,175
88,176
89,177
89,178
90,179
90,180
91,181
91,182
92,183
92,184
93,185
93,186
94,187
94,188
95,189
95,190
96,191
96,192
97,193
97,194
98,195
98,196
99,197
99,198
100,199
100,200
101,201
101,202
102,203
102,204
103,205
103,206
104,207
104,208
105,209
105,210
106,211
106,212
107,213
107,214
108,215
108,216
109,217
109,218
110,219
110,220
111,221
111,222
112,223
112,224
113,225
113,226
114,227
114,228
115,229
115,230
116,231
116,232
117,233
117,234
118,235
118,236
119,237
119,238
120,239
120,240
121,241
121,242
122,243
122,244
123,245
123,246
124,247
124,248
125,249
125,250
126,251
126,252
127,253
127,254
128,255
128,256
129,257
129,258
130,259
130,260
131,261
131,262
132,263
132,264
133,265
133,266
134,267
134,268
135,269
135,270
136,271
136,272
137,273
137,274
138,275
138,276
139,277
139,278
140,279
140,280
141,281
141,282
142,283
142,284
143,285
143,286
144,287
144,288
145,289
145,290
146,291
146,292
147,293
147,294
148,295
148,296
149,297
149,298
150,299
150,300
151,301
151,302
152,303
152,304
153,305
153,306
154,307
154,308
155,309
155,310
156,311
156,312
157,313
157,314
158,315
158,316
159,317
159,318
160,319
160,320
161,321
161,322
162,323
162,324
163,325
163,326
164,327
164,328
165,329
165,330
166,331
166,332
167,333
167,334
168,335
168,336
169,337
169,338
170,339
170,340
171,341
171,342
172,343
172,344
173,345
173,346
174,347
174,348
175,349
175,350
176,351
176,352
177,353
177,354
178,355
178,356
179,357
179,358
180,359
180,360
181,361
181,362
182,363
182,364
183,365
183,366
184,367
184,368
185,369
185,370
186,371
186,372
187,373
187,374
188,375
188,376
189,377
189,378
190,379
190,380
191,381
191,382
192,383
192,384
193,385
193,386
194,387
194,388
195,389
195,390
196,391
196,392
197,393
197,394
198,395
198,396
199,397
199,398
200,399
200,400
201,401
201,402
202,403
202,404
203,405
203,406
204,407
204,408
205,409
205,410
206,411
206,412
207,413
207,414
208,415
208,416
209,417
209,418
210,419
210,420
211,421
211,422
212,423
212,424
213,425
213,426
214,427
214,428
215,429
215,430
216,431
216,432
217,433
217,434
218,435
218,436
219,437
219,438
220,439
220,440
221,441
221,442
222,443
222,444
223,445
223,446
224,447
224,448
225,449
225,450
226,451
226,452
227,453
227,454
228,455
228,456
229,457
229,458
230,459
230,460
231,461
231,462
232,463
232,464
233,465
233,466
234,467
234,468
235,469
235,470
236,471
236,472
237,473
237,474
238,475
238,476
239,477
239,478
240,479
240,480
241,481
241,482
242,483
242,484
243,485
243,486
244,487
244,488
245,489
245,490
246,491
246,492
247,493
247,494
248,495
248,496
249,497
249,498
250,499
250,500
251,501
251,502
252,503
252,504
253,505
253,506
254,507
254,508
255,509
255,510
256,511
256,512
257,513
257,514
258,515
258,516
259,517
259,518
260,519
260,520
261,521
261,522
262,523
262,524
263,525
263,526
264,527
264,528
265,529
265,530
266,531
266,532
267,533
267,534
268,535
268,536
269,537
269,538
270,539
270,540
271,541
271,542
272,543
272,544
273,545
273,546
274,547
274,548
275,549
275,550
276,551
276,552
277,553
277,554
